,title,manyogana,kundoku,kana
10,[題詞]（中皇命徃于紀温泉之時御歌）_182,吾勢子波  借廬作良須  草無者  小松下乃  草乎苅核,我が背子は仮廬作らす草なくは小松が下の草を刈らさね,",わがせこは,かりほつくらす,かやなくは,こまつがしたの,かやをからさね"
11,[題詞]（中皇命徃于紀温泉之時御歌）_199,吾欲之  野嶋波見世追  底深伎  阿胡根能浦乃  珠曽不拾  [或頭云 吾欲  子嶋羽見遠],我が欲りし野島は見せつ底深き阿胡根の浦の玉ぞ拾はぬ  [或頭云  我が欲りし子島は見しを],",わがほりし,のしまはみせつ,そこふかき,あごねのうらの,たまぞひりはぬ,[わがほりし,こしまはみしを]"
12,[題詞]中大兄[近江宮御宇天皇]<三山歌>_216,高山波  雲根火雄男志等  耳梨與  相諍競伎  神代従  如此尓有良之  古昔母  然尓有許曽  虚蝉毛  嬬乎  相<挌>良思吉,香具山は  畝傍を愛しと  耳成と  相争ひき  神代より  かくにあるらし  古も  しかにあれこそ  うつせみも  妻を争ふらしき,",かぐやまは,うねびををしと,みみなしと,あひあらそひき,かむよより,かくにあるらし,いにしへも,しかにあれこそ,うつせみも,つまを,あらそふらしき"
13,[題詞]（中大兄[近江宮御宇天皇]<三山歌>）反歌_233,高山与  耳梨山与  相之時  立見尓来之  伊奈美國波良,香具山と耳成山と闘ひし時立ちて見に来し印南国原,",かぐやまと,みみなしやまと,あひしとき,たちてみにこし,いなみくにはら"
14,[題詞]（（中大兄[近江宮御宇天皇]<三山歌>）反歌）_250,渡津海乃  豊旗雲尓  伊理比<紗>之  今夜乃月夜  清明己曽,海神の豊旗雲に入日さし今夜の月夜さやけくありこそ,",わたつみの,とよはたくもに,いりひさし,こよひのつくよ,さやけくありこそ"
15,[題詞]近江大津宮御宇天皇代 [天命開別天皇謚曰天智天皇] / 天皇詔内大臣藤原朝臣競憐春山萬花之艶秋山千葉之彩時額田王以歌判之歌_267,冬木成  春去来者  不喧有之  鳥毛来鳴奴  不開有之  花毛佐家礼抒  山乎茂  入而毛不取  草深  執手母不見  秋山乃  木葉乎見而者  黄葉乎婆  取而曽思努布  青乎者  置而曽歎久  曽許之恨之  秋山吾者,冬こもり  春さり来れば  鳴かずありし  鳥も来鳴きぬ  咲かずありし  花も咲けれど  山を茂み  入りても取らず  草深み  取りても見ず  秋山の  木の葉を見ては  黄葉をば  取りてぞ偲ふ  青きをば  置きてぞ嘆く  そこし恨めし  秋山吾は,",ふゆこもり,はるさりくれば,なかずありし,とりもきなきぬ,さかずありし,はなもさけれど,やまをしみ,いりてもとらず,くさふかみ,とりてもみず,あきやまの,このはをみては,もみちをば,とりてぞしのふ,あをきをば,おきてぞなげく,そこしうらめし,あきやまわれは"
16,[題詞]額田王下近江國時<作>歌井戸王即和歌_284,味酒  三輪乃山  青丹吉  奈良能山乃  山際  伊隠萬代  道隈  伊積流萬代尓  委曲毛  見管行武雄  數々毛  見放武八萬雄  情無  雲乃  隠障倍之也,味酒  三輪の山  あをによし  奈良の山の  山の際に  い隠るまで  道の隈  い積もるまでに  つばらにも  見つつ行かむを  しばしばも  見放けむ山を  心なく  雲の  隠さふべしや,",うまさけ,みわのやま,あをによし,ならのやまの,やまのまに,いかくるまで,みちのくま,いつもるまでに,つばらにも,みつつゆかむを,しばしばも,みさけむやまを,こころなく,くもの,かくさふべしや"
17,[題詞]（額田王下近江國時<作>歌井戸王即和歌）反歌_301,三輪山乎  然毛隠賀  雲谷裳  情有南畝  可苦佐布倍思哉,三輪山をしかも隠すか雲だにも心あらなも隠さふべしや,",みわやまを,しかもかくすか,くもだにも,こころあらなも,かくさふべしや"
18,[題詞]（（額田王下近江國時<作>歌井戸王即和歌）反歌）_318,綜麻形乃  林始乃  狭野榛能  衣尓著成  目尓都久和我勢,綜麻形の林のさきのさ野榛の衣に付くなす目につく吾が背,",へそかたの,はやしのさきの,さのはりの,きぬにつくなす,めにつくわがせ"
19,[題詞]天皇遊猟蒲生野時額田王作歌_335,茜草指  武良前野逝  標野行  野守者不見哉  君之袖布流,あかねさす紫野行き標野行き野守は見ずや君が袖振る,",あかねさす,むらさきのゆき,しめのゆき,のもりはみずや,きみがそでふる"
20,[題詞]（天皇遊猟蒲生野時額田王作歌）皇太子答御歌  [明日香宮御宇天皇謚曰天武天皇]_352,紫草能  尓保敝類妹乎  尓苦久有者  人嬬故尓  吾戀目八方,紫のにほへる妹を憎くあらば人妻故に我れ恋ひめやも,",むらさきの,にほへるいもを,にくくあらば,ひとづまゆゑに,われこひめやも"
21,[題詞]明日香清御原宮天皇代  [天渟中原瀛真人天皇謚曰天武天皇] / 十市皇女参赴於伊勢神宮時見波多横山巌吹Ｂ刀自作歌_369,河上乃  湯津盤村二  草武左受  常丹毛冀名  常處女煮手,川の上のゆつ岩群に草生さず常にもがもな常処女にて,",かはのへの,ゆついはむらに,くさむさず,つねにもがもな,とこをとめにて"
22,[題詞]麻續王流於伊勢國伊良虞嶋之時人哀傷作歌_386,打麻乎  麻續王  白水郎有哉  射等篭荷四間乃  珠藻苅麻須,打ち麻を麻続の王海人なれや伊良虞の島の玉藻刈ります,",うちそを,をみのおほきみ,あまなれや,いらごのしまの,たまもかります"
23,[題詞]（麻續王流於伊勢國伊良虞嶋之時人哀傷作歌）麻續王聞之感傷和歌_403,空蝉之  命乎惜美  浪尓所濕  伊良虞能嶋之  玉藻苅食,うつせみの命を惜しみ波に濡れ伊良虞の島の玉藻刈り食む,",うつせみの,いのちををしみ,なみにぬれ,いらごのしまの,たまもかりはむ"
24,[題詞]天皇御製歌_420,三吉野之  耳我嶺尓  時無曽  雪者落家留  間無曽  雨者零計類  其雪乃  時無如  其雨乃  間無如  隈毛不落  <念>乍叙来  其山道乎,み吉野の  耳我の嶺に  時なくぞ  雪は降りける  間無くぞ  雨は振りける  その雪の  時なきがごと  その雨の  間なきがごと  隈もおちず  思ひつつぞ来し  その山道を,",みよしのの,みみがのみねに,ときなくぞ,ゆきはふりける,まなくぞ,あめはふりける,そのゆきの,ときなきがごと,そのあめの,まなきがごと,くまもおちず,おもひつつぞこし,そのやまみちを"
25,[題詞]（天皇御製歌）或本歌_437,三芳野之  耳我山尓  時自久曽  雪者落等言  無間曽  雨者落等言  其雪  不時如  其雨  無間如  隈毛不堕  思乍叙来  其山道乎,み吉野の  耳我の山に  時じくぞ  雪は降るといふ  間なくぞ  雨は降るといふ  その雪の  時じきがごと  その雨の  間なきがごと  隈もおちず  思ひつつぞ来る  その山道を,",みよしのの,みみがのやまに,ときじくぞ,ゆきはふるといふ,まなくぞ,あめはふるといふ,そのゆきの,ときじきがごと,そのあめの,まなきがごと,くまもおちず,おもひつつぞくる,そのやまみちを"
26,[題詞]天皇幸于吉野宮時御製歌_454,淑人乃  良跡吉見而  好常言師  芳野吉見<与>  良人四来三,淑き人のよしとよく見てよしと言ひし吉野よく見よ良き人よく見,",よきひとの,よしとよくみて,よしといひし,よしのよくみよ,よきひとよくみ"
27,[題詞]藤原宮御宇天皇代[高天原廣野姫天皇  元年丁亥十一年譲位軽太子  <尊>号曰太上天皇] / 天皇御製歌_471,春過而  夏来良之  白妙能  衣乾有  天之香来山,春過ぎて夏来るらし白栲の衣干したり天の香具山,",はるすぎて,なつきたるらし,しろたへの,ころもほしたり,あめのかぐやま"
28,[題詞]過近江荒都時柿本朝臣人麻呂作歌_488,玉手次  畝火之山乃  橿原乃  日知之御世従  [或云  自宮]  阿礼座師  神之<盡>  樛木乃  弥継嗣尓  天下  所知食之乎  [或云  食来]  天尓満  倭乎置而  青丹吉  平山乎超  [或云  虚見  倭乎置  青丹吉  平山越而]  何方  御念食可  [或云  所念計米可]  天離  夷者雖有  石走  淡海國乃  樂浪乃  大津宮尓  天下  所知食兼  天皇之  神之御言能  大宮者  此間等雖聞  大殿者  此間等雖云  春草之  茂生有  霞立  春日之霧流  [或云  霞立  春日香霧流  夏草香  繁成奴留]  百礒城之  大宮處  見者悲<毛>  [或云  見者左夫思毛],玉たすき  畝傍の山の  橿原の  ひじりの御代ゆ  [或云  宮ゆ]  生れましし  神のことごと  栂の木の  いや継ぎ継ぎに  天の下  知らしめししを  [或云  めしける]  そらにみつ  大和を置きて  あをによし  奈良山を越え  [或云  そらみつ  大和を置き  あをによし  奈良山越えて]  いかさまに  思ほしめせか  [或云  思ほしけめか]  天離る  鄙にはあれど  石走る  近江の国の  楽浪の  大津の宮に  天の下  知らしめしけむ  天皇の  神の命の  大宮は  ここと聞けども  大殿は  ここと言へども  春草の  茂く生ひたる  霞立つ  春日の霧れる  [或云  霞立つ  春日か霧れる  夏草か  茂くなりぬる]  ももしきの  大宮ところ  見れば悲しも  [或云  見れば寂しも],",たまたすき,うねびのやまの,かしはらの,ひじりのみよゆ,[みやゆ],あれましし,かみのことごと,つがのきの,いやつぎつぎに,あめのした,しらしめししを,[めしける],そらにみつ,やまとをおきて,あをによし,ならやまをこえ,[そらみつ,やまとをおき,あをによし,ならやまこえて],いかさまに,おもほしめせか,[おもほしけめか],あまざかる,ひなにはあれど,いはばしる,あふみのくにの,ささなみの,おほつのみやに,あめのした,しらしめしけむ,すめろきの,かみのみことの,おほみやは,ここときけども,おほとのは,ここといへども,はるくさの,しげくおひたる,かすみたつ,はるひのきれる,[かすみたつ,はるひかきれる,なつくさか,しげくなりぬる],ももしきの,おほみやところ,みればかなしも,[みればさぶしも]"
29,[題詞]（過近江荒都時柿本朝臣人麻呂作歌）反歌_505,樂浪之  思賀乃辛碕  雖幸有  大宮人之  船麻知兼津,楽浪の志賀の辛崎幸くあれど大宮人の舟待ちかねつ,",ささなみの,しがのからさき,さきくあれど,おほみやひとの,ふねまちかねつ"
30,[題詞]（（過近江荒都時柿本朝臣人麻呂作歌）反歌）_522,左散難弥乃  志我能  [一云  比良乃]  大和太  與杼六友  昔人二  亦母相目八毛  [一云  将會跡母戸八],楽浪の志賀の  [一云  比良の]  大わだ淀むとも昔の人にまたも逢はめやも  [一云  逢はむと思へや],",ささなみの,しがの,[ひらの],おほわだ,よどむとも,むかしのひとに,またもあはめやも,[あはむとおもへや]"
31,[題詞]高市古人感傷近江舊堵作歌  [或書云高市連黒人]_539,古  人尓和礼有哉  樂浪乃  故京乎  見者悲寸,古の人に我れあれや楽浪の古き都を見れば悲しき,",いにしへの,ひとにわれあれや,ささなみの,ふるきみやこを,みればかなしき"
32,[題詞]（高市古人感傷近江舊堵作歌  [或書云高市連黒人]）_556,樂浪乃  國都美神乃  浦佐備而  荒有京  見者悲毛,楽浪の国つ御神のうらさびて荒れたる都見れば悲しも,",ささなみの,くにつみかみの,うらさびて,あれたるみやこ,みればかなしも"
33,[題詞]幸于紀伊國時川嶋皇子御作歌  [或云山上臣憶良作]_573,白浪乃  濱松之枝乃  手向草  幾代左右二賀  年乃經去良武  [一云  年者經尓計武],白波の浜松が枝の手向けぐさ幾代までにか年の経ぬらむ  [一云  年は経にけむ],",しらなみの,はままつがえの,たむけくさ,いくよまでにか,としのへぬらむ,[としはへにけむ]"
34,[題詞]越勢能山時阿閇皇女御作歌_590,此也是能  倭尓四手者  我戀流  木路尓有云  名二負勢能山,これやこの大和にしては我が恋ふる紀路にありといふ名に負ふ背の山,",これやこの,やまとにしては,あがこふる,きぢにありといふ,なにおふせのやま"
35,[題詞]幸于吉野宮之時柿本朝臣人麻呂作歌_607,八隅知之  吾大王之  所聞食  天下尓  國者思毛  澤二雖有  山川之  清河内跡  御心乎  吉野乃國之  花散相  秋津乃野邊尓  宮柱  太敷座波  百礒城乃  大宮人者  船並弖  旦川渡  舟<競>  夕河渡  此川乃  絶事奈久  此山乃  弥高<思良>珠  水激  瀧之宮子波  見礼跡不飽可<問>,やすみしし  我が大君の  きこしめす  天の下に  国はしも  さはにあれども  山川の  清き河内と  御心を  吉野の国の  花散らふ  秋津の野辺に  宮柱  太敷きませば  ももしきの  大宮人は  舟並めて  朝川渡る  舟競ひ  夕川渡る  この川の  絶ゆることなく  この山の  いや高知らす  水激る  瀧の宮処は  見れど飽かぬかも,",やすみしし,わがおほきみの,きこしめす,あめのしたに,くにはしも,さはにあれども,やまかはの,きよきかふちと,みこころを,よしののくにの,はなぢらふ,あきづののへに,みやばしら,ふとしきませば,ももしきの,おほみやひとは,ふねなめて,あさかはわたる,ふなぎほひ,ゆふかはわたる,このかはの,たゆることなく,このやまの,いやたかしらす,みづはしる,たきのみやこは,みれどあかぬかも"
36,[題詞]（幸于吉野宮之時柿本朝臣人麻呂作歌）反歌_624,雖見飽奴  吉野乃河之  常滑乃  絶事無久  復還見牟,見れど飽かぬ吉野の川の常滑の絶ゆることなくまたかへり見む,",みれどあかぬ,よしののかはの,とこなめの,たゆることなく,またかへりみむ"
37,[題詞]（幸于吉野宮之時柿本朝臣人麻呂作歌）_641,安見知之  吾大王  神長柄  神佐備世須登  <芳>野川  多藝津河内尓  高殿乎  高知座而  上立  國見乎為<勢><婆>  疊有  青垣山  々神乃  奉御調等  春部者  花挿頭持  秋立者  黄葉頭<刺>理  [一云  黄葉加射之]  <逝>副  川之神母  大御食尓  仕奉等  上瀬尓  鵜川乎立  下瀬尓  小網刺渡  山川母  依弖奉流  神乃御代鴨,やすみしし  我が大君  神ながら  神さびせすと  吉野川  たぎつ河内に  高殿を  高知りまして  登り立ち  国見をせせば  たたなはる  青垣山  山神の  奉る御調と  春へは  花かざし持ち  秋立てば  黄葉かざせり  [一云  黄葉かざし]  行き沿ふ  川の神も  大御食に  仕へ奉ると  上つ瀬に  鵜川を立ち  下つ瀬に  小網さし渡す  山川も  依りて仕ふる  神の御代かも,",やすみしし,わがおほきみ,かむながら,かむさびせすと,よしのかは,たぎつかふちに,たかとのを,たかしりまして,のぼりたち,くにみをせせば,たたなはる,あをかきやま,やまつみの,まつるみつきと,はるへは,はなかざしもち,あきたてば,もみちかざせり,[もみちばかざし],ゆきそふ,かはのかみも,おほみけに,つかへまつると,かみつせに,うかはをたち,しもつせに,さでさしわたす,やまかはも,よりてつかふる,かみのみよかも"
38,[題詞]（幸于吉野宮之時柿本朝臣人麻呂作歌）反歌_658,山川毛  因而奉流  神長柄  多藝津河内尓  船出為加母,山川も依りて仕ふる神ながらたぎつ河内に舟出せすかも,",やまかはも,よりてつかふる,かむながら,たぎつかふちに,ふなでせすかも"
39,[題詞]幸于伊勢國時留京柿本朝臣人麻呂作歌_675,鳴呼見乃浦尓  船乗為良武  Ｄ嬬等之  珠裳乃須十二  四寳三都良武香,嗚呼見の浦に舟乗りすらむをとめらが玉裳の裾に潮満つらむか,",あみのうらに,ふなのりすらむ,をとめらが,たまものすそに,しほみつらむか"
40,[題詞]（幸于伊勢國時留京柿本朝臣人麻呂作歌）_692,釼著  手節乃埼二  今<日>毛可母  大宮人之  玉藻苅良<武>,釧着く答志の崎に今日もかも大宮人の玉藻刈るらむ,",くしろつく,たふしのさきに,けふもかも,おほみやひとの,たまもかるらむ"
41,[題詞]（幸于伊勢國時留京柿本朝臣人麻呂作歌）_709,潮左為二  五十等兒乃嶋邊  榜船荷  妹乗良六鹿  荒嶋廻乎,潮騒に伊良虞の島辺漕ぐ舟に妹乗るらむか荒き島廻を,",しほさゐに,いらごのしまへ,こぐふねに,いものるらむか,あらきしまみを"
42,[題詞]（幸于伊勢國時）當麻真人麻呂妻作歌_726,吾勢枯波  何所行良武  己津物  隠乃山乎  今日香越等六,我が背子はいづく行くらむ沖つ藻の名張の山を今日か越ゆらむ,",わがせこは,いづくゆくらむ,おきつもの,なばりのやまを,けふかこゆらむ"
43,[題詞]（幸于伊勢國時）石上大臣従駕作歌_743,吾妹子乎  去来見乃山乎  高三香裳  日本能不所見  國遠見可聞,我妹子をいざ見の山を高みかも大和の見えぬ国遠みかも,",わぎもこを,いざみのやまを,たかみかも,やまとのみえぬ,くにとほみかも"
44,[題詞]軽皇子宿于安騎野時柿本朝臣人麻呂作歌_760,八隅知之  吾大王  高照  日之皇子  神長柄  神佐備世須<等>  太敷為  京乎置而  隠口乃  泊瀬山者  真木立  荒山道乎  石根  禁樹押靡  坂鳥乃  朝越座而  玉限  夕去来者  三雪落  阿騎乃大野尓  旗須為寸  四能乎押靡  草枕  多日夜取世須  古昔念而,やすみしし  我が大君  高照らす  日の皇子  神ながら  神さびせすと  太敷かす  都を置きて  隠口の  初瀬の山は  真木立つ  荒き山道を  岩が根  禁樹押しなべ  坂鳥の  朝越えまして  玉限る  夕去り来れば  み雪降る  安騎の大野に  旗すすき  小竹を押しなべ  草枕  旅宿りせす  いにしへ思ひて,",やすみしし,わがおほきみ,たかてらす,ひのみこ,かむながら,かむさびせすと,ふとしかす,みやこをおきて,こもりくの,はつせのやまは,まきたつ,あらきやまぢを,いはがね,さへきおしなべ,さかとりの,あさこえまして,たまかぎる,ゆふさりくれば,みゆきふる,あきのおほのに,はたすすき,しのをおしなべ,くさまくら,たびやどりせす,いにしへおもひて"
45,[題詞]（軽皇子宿于安騎野時柿本朝臣人麻呂作歌）短歌_777,阿騎乃<野>尓  宿旅人  打靡  寐毛宿良<目>八方  古部念尓,安騎の野に宿る旅人うち靡き寐も寝らめやもいにしへ思ふに,",あきののに,やどるたびひと,うちなびき,いもぬらめやも,いにしへおもふに"
46,[題詞]（（軽皇子宿于安騎野時柿本朝臣人麻呂作歌）短歌）_794,真草苅  荒野者雖有  葉  過去君之  形見跡曽来師,ま草刈る荒野にはあれど黄葉の過ぎにし君が形見とぞ来し,",まくさかる,あらのにはあれど,もみちばの,すぎにしきみが,かたみとぞこし"
47,[題詞]（（軽皇子宿于安騎野時柿本朝臣人麻呂作歌）短歌）_811,東  野炎  立所見而  反見為者  月西渡,東の野にかぎろひの立つ見えてかへり見すれば月かたぶきぬ,",ひむがしの,のにかぎろひの,たつみえて,かへりみすれば,つきかたぶきぬ"
48,[題詞]（（軽皇子宿于安騎野時柿本朝臣人麻呂作歌）短歌）_828,日雙斯  皇子命乃  馬副而  御猟立師斯  時者来向,日並の皇子の命の馬並めてみ狩り立たしし時は来向ふ,",ひなみしの,みこのみことの,うまなめて,みかりたたしし,ときはきむかふ"
49,[題詞]藤原宮之役民作歌_845,八隅知之  吾大王  高照  日<乃>皇子  荒妙乃  藤原我宇倍尓  食國乎  賣之賜牟登  都宮者  高所知武等  神長柄  所念奈戸二  天地毛  縁而有許曽  磐走  淡海乃國之  衣手能  田上山之  真木佐苦  桧乃嬬手乎  物乃布能  八十氏河尓  玉藻成  浮倍流礼  其乎取登  散和久御民毛  家忘  身毛多奈不知  鴨自物  水尓浮居而  吾作  日之御門尓  不知國  依巨勢道従  我國者  常世尓成牟  圖負留  神龜毛  新代登  泉乃河尓  持越流  真木乃都麻手乎  百不足  五十日太尓作  泝須<良>牟  伊蘇波久見者  神随尓有之,やすみしし  我が大君  高照らす  日の皇子  荒栲の  藤原が上に  食す国を  見したまはむと  みあらかは  高知らさむと  神ながら  思ほすなへに  天地も  寄りてあれこそ  石走る  近江の国の  衣手の  田上山の  真木さく  桧のつまでを  もののふの  八十宇治川に  玉藻なす  浮かべ流せれ  其を取ると  騒く御民も  家忘れ  身もたな知らず  鴨じもの  水に浮き居て  我が作る  日の御門に  知らぬ国  寄し巨勢道より  我が国は  常世にならむ  図負へる  くすしき亀も  新代と  泉の川に  持ち越せる  真木のつまでを  百足らず  筏に作り  泝すらむ  いそはく見れば  神ながらにあらし,",やすみしし,わがおほきみ,たかてらす,ひのみこ,あらたへの,ふぢはらがうへに,をすくにを,めしたまはむと,みあらかは,たかしらさむと,かむながら,おもほすなへに,あめつちも,よりてあれこそ,いはばしる,あふみのくにの,ころもでの,たなかみやまの,まきさく,ひのつまでを,もののふの,やそうぢがはに,たまもなす,うかべながせれ,そをとると,さわくみたみも,いへわすれ,みもたなしらず,かもじもの,みづにうきゐて,わがつくる,ひのみかどに,しらぬくに,よしこせぢより,わがくには,とこよにならむ,あやおへる,くすしきかめも,あらたよと,いづみのかはに,もちこせる,まきのつまでを,ももたらず,いかだにつくり,のぼすらむ,いそはくみれば,かむながらにあらし"
50,[題詞]従明日香宮遷居藤原宮之後志貴皇子御作歌_862,Ｆ女乃  袖吹反  明日香風  京都乎遠見  無用尓布久,采女の袖吹きかへす明日香風都を遠みいたづらに吹く,",うねめの,そでふきかへす,あすかかぜ,みやこをとほみ,いたづらにふく"
51,[題詞]藤原宮御井歌_879,八隅知之  和期大王  高照  日之皇子  麁妙乃  藤井我原尓  大御門  始賜而  埴安乃  堤上尓  在立之  見之賜者  日本乃  青香具山者  日經乃  大御門尓  春山<跡>  之美佐備立有  畝火乃  此美豆山者  日緯能  大御門尓  弥豆山跡  山佐備伊座  耳<為>之  青菅山者  背友乃  大御門尓  宣名倍  神佐備立有  名細  吉野乃山者  影友乃  大御門<従>  雲居尓曽  遠久有家留  高知也  天之御蔭  天知也  日<之>御影乃  水許曽婆  常尓有米  御井之清水,やすみしし  我ご大君  高照らす  日の皇子  荒栲の  藤井が原に  大御門  始めたまひて  埴安の  堤の上に  あり立たし  見したまへば  大和の  青香具山は  日の経の  大御門に  春山と  茂みさび立てり  畝傍の  この瑞山は  日の緯の  大御門に  瑞山と  山さびいます  耳成の  青菅山は  背面の  大御門に  よろしなへ  神さび立てり  名ぐはし  吉野の山は  かげともの  大御門ゆ  雲居にぞ  遠くありける  高知るや  天の御蔭  天知るや  日の御蔭の  水こそば  とこしへにあらめ  御井のま清水,",やすみしし,わごおほきみ,たかてらす,ひのみこ,あらたへの,ふぢゐがはらに,おほみかど,はじめたまひて,はにやすの,つつみのうへに,ありたたし,めしたまへば,やまとの,あをかぐやまは,ひのたての,おほみかどに,はるやまと,しみさびたてり,うねびの,このみづやまは,ひのよこの,おほみかどに,みづやまと,やまさびいます,みみなしの,あをすがやまは,そともの,おほみかどに,よろしなへ,かむさびたてり,なぐはし,よしののやまは,かげともの,おほみかどゆ,くもゐにぞ,とほくありける,たかしるや,あめのみかげ,あめしるや,ひのみかげの,みづこそば,とこしへにあらめ,みゐのましみづ"
52,[題詞]（藤原宮御井歌）短歌_896,藤原之  大宮都加倍  安礼衝哉  處女之友者  <乏>吉<呂>賀聞,藤原の大宮仕へ生れ付くや娘子がともは羨しきろかも,",ふぢはらの,おほみやつかへ,あれつくや,をとめがともは,ともしきろかも"
53,[題詞]大寶元年辛丑秋九月太上天皇幸于紀<伊>國時歌_913,巨勢山乃  列々椿  都良々々尓  見乍思奈  許湍乃春野乎,巨勢山のつらつら椿つらつらに見つつ偲はな巨勢の春野を,",こせやまの,つらつらつばき,つらつらに,みつつしのはな,こせのはるのを"
