,chapter,sents
94,桐壺,ものなども聞こし召さず、朝餉のけしきばかり触れさせたまひて、大床子の御膳などは、いと遥かに思し召したれば、陪膳にさぶらふ限りは、心苦しき御気色を見たてまつり嘆く。
95,桐壺,すべて、近うさぶらふ限りは、男女、「いとわりなきわざかな」と言ひ合はせつつ嘆く。
96,桐壺,「さるべき契りこそはおはしましけめ。そこらの人の誹り、恨みをも憚らせたまはず、この御ことに触れたることをば、道理をも失はせたまひ、今はた、かく世の中のことをも、思ほし捨てたるやうになりゆくは、いとたいだいしきわざなり」と、人の朝廷の例まで引き出で、ささめき嘆きけり。
97,桐壺,月日経て、若宮参りたまひぬ。
98,桐壺,いとどこの世のものならず清らにおよすげたまへれば、いとゆゆしう思したり。
99,桐壺,明くる年の春、坊定まりたまふにも、いと引き越さまほしう思せど、御後見すべき人もなく、また世のうけひくまじきことなりければ、なかなか危く思し憚りて、色にも出ださせたまはずなりぬるを、「さばかり思したれど、限りこそありけれ」と、世人も聞こえ、女御も御心落ちゐたまひぬ。
100,桐壺,かの御祖母北の方、慰む方なく思し沈みて、おはすらむ所にだに尋ね行かむと願ひたまひししるしにや、つひに亡せたまひぬれば、またこれを悲しび思すこと限りなし。
101,桐壺,御子六つになりたまふ年なれば、このたびは思し知りて恋ひ泣きたまふ。
102,桐壺,年ごろ馴れ睦びきこえたまひつるを、見たてまつり置く悲しびをなむ、返す返すのたまひける。
103,桐壺,今は内裏にのみさぶらひたまふ。
104,桐壺,七つになりたまへば、読書始めなどせさせたまひて、世に知らず聡う賢くおはすれば、あまり恐ろしきまで御覧ず。
105,桐壺,「今は誰れも誰れもえ憎みたまはじ。母君なくてだにらうたうしたまへ」とて、弘徽殿などにも渡らせたまふ御供には、やがて御簾の内に入れたてまつりたまふ。
106,桐壺,いみじき武士、仇敵なりとも、見てはうち笑まれぬべきさまのしたまへれば、えさし放ちたまはず。
107,桐壺,女皇女たち二ところ、この御腹におはしませど、なずらひたまふべきだにぞなかりける。
108,桐壺,御方々も隠れたまはず、今よりなまめかしう恥づかしげにおはすれば、いとをかしううちとけぬ遊び種に、誰れも誰れも思ひきこえたまへり。
109,桐壺,わざとの御学問はさるものにて、琴笛の音にも雲居を響かし、すべて言ひ続けば、ことごとしう、うたてぞなりぬべき人の御さまなりける。
110,桐壺,そのころ、高麗人の参れる中に、かしこき相人ありけるを聞こし召して、宮の内に召さむことは、宇多の帝の御誡めあれば、いみじう忍びて、この御子を鴻臚館に遣はしたり。
111,桐壺,御後見だちて仕うまつる右大弁の子のやうに思はせて率てたてまつるに、相人驚きて、あまたたび傾きあやしぶ。
112,桐壺,「国の親となりて、帝王の上なき位に昇るべき相おはします人の、そなたにて見れば、乱れ憂ふることやあらむ。朝廷の重鎮となりて、天の下を輔くる方にて見れば、またその相違ふべし」と言ふ。
113,桐壺,弁も、いと才かしこき博士にて、言ひ交はしたることどもなむ、いと興ありける。
114,桐壺,文など作り交はして、今日明日帰り去りなむとするに、かくありがたき人に対面したるよろこび、かへりては悲しかるべき心ばへをおもしろく作りたるに、御子もいとあはれなる句を作りたまへるを、限りなうめでたてまつりて、いみじき贈り物どもを捧げたてまつる。
115,桐壺,朝廷よりも多くの物賜はす。
116,桐壺,おのづから事広ごりて、漏らさせたまはねど、春宮の祖父大臣など、いかなることにかと思し疑ひてなむありける。
117,桐壺,帝、かしこき御心に、倭相を仰せて、思しよりにける筋なれば、今までこの君を親王にもなさせたまはざりけるを、「相人はまことにかしこかりけり」と思して、「無品の親王の外戚の寄せなきにては漂はさじ。わが御世もいと定めなきを、ただ人にて朝廷の御後見をするなむ、行く先も頼もしげなめること」と思し定めて、いよいよ道々の才を習はさせたまふ。
118,桐壺,際ことに賢くて、ただ人にはいとあたらしけれど、親王となりたまひなば、世の疑ひ負ひたまひぬべくものしたまへば、宿曜の賢き道の人に勘へさせたまふにも、同じさまに申せば、源氏になしたてまつるべく思しおきてたり。
119,桐壺,年月に添へて、御息所の御ことを思し忘るる折なし。
120,桐壺,「慰むや」と、さるべき人びと参らせたまへど、「なずらひに思さるるだにいとかたき世かな」と、疎ましうのみよろづに思しなりぬるに、先帝の四の宮の、御容貌すぐれたまへる聞こえ高くおはします、母后世になくかしづききこえたまふを、主上にさぶらふ典侍は、先帝の御時の人にて、かの宮にも親しう参り馴れたりければ、いはけなくおはしましし時より見たてまつり、今もほの見たてまつりて、「亡せたまひにし御息所の御容貌に似たまへる人を、三代の宮仕へに伝はりぬるに、え見たてまつりつけぬを、后の宮の姫宮こそ、いとようおぼえて生ひ出でさせたまへりけれ。ありがたき御容貌人になむ」と奏しけるに、「まことにや」と、御心とまりて、ねむごろに聞こえさせたまひけり。
121,桐壺,母后、「あな恐ろしや。春宮の女御のいとさがなくて、桐壺の更衣の、あらはにはかなくもてなされにし例もゆゆしう」と、思しつつみて、すがすがしうも思し立たざりけるほどに、后も亡せたまひぬ。
122,桐壺,心細きさまにておはしますに、「ただ、わが女皇女たちの同じ列に思ひきこえむ」と、いとねむごろに聞こえさせたまふ。
123,桐壺,さぶらふ人びと、御後見たち、御兄の兵部卿の親王など、「かく心細くておはしまさむよりは、内裏住みせさせたまひて、御心も慰むべく」など思しなりて、参らせたてまつりたまへり。
124,桐壺,藤壺と聞こゆ。
125,桐壺,げに、御容貌ありさま、あやしきまでぞおぼえたまへる。
126,桐壺,これは、人の御際まさりて、思ひなしめでたく、人もえおとしめきこえたまはねば、うけばりて飽かぬことなし。
127,桐壺,かれは、人の許しきこえざりしに、御心ざしあやにくなりしぞかし。
128,桐壺,思し紛るとはなけれど、おのづから御心移ろひて、こよなう思し慰むやうなるも、あはれなるわざなりけり。
129,桐壺,源氏の君は、御あたり去りたまはぬを、ましてしげく渡らせたまふ御方は、え恥ぢあへたまはず。
130,桐壺,いづれの御方も、われ人に劣らむと思いたるやはある、とりどりにいとめでたけれど、うち大人びたまへるに、いと若ううつくしげにて、切に隠れたまへど、おのづから漏り見たてまつる。
131,桐壺,母御息所も、影だにおぼえたまはぬを、「いとよう似たまへり」と、典侍の聞こえけるを、若き御心地にいとあはれと思ひきこえたまひて、常に参らまほしく、「なづさひ見たてまつらばや」とおぼえたまふ。
132,桐壺,主上も限りなき御思ひどちにて、「な疎みたまひそ。あやしくよそへきこえつべき心地なむする。なめしと思さで、らうたくしたまへ。つらつき、まみなどは、いとよう似たりしゆゑ、かよひて見えたまふも、似げなからずなむ」など聞こえつけたまへれば、幼心地にも、はかなき花紅葉につけても心ざしを見えたてまつる。
133,桐壺,こよなう心寄せきこえたまへれば、弘徽殿の女御、またこの宮とも御仲そばそばしきゆゑ、うち添へて、もとよりの憎さも立ち出でて、ものしと思したり。
134,桐壺,世にたぐひなしと見たてまつりたまひ、名高うおはする宮の御容貌にも、なほ匂はしさはたとへむ方なく、うつくしげなるを、世の人、「光る君」と聞こゆ。
135,桐壺,藤壺ならびたまひて、御おぼえもとりどりなれば、「かかやく日の宮」と聞こゆ。
136,桐壺,この君の御童姿、いと変へまうく思せど、十二にて御元服したまふ。
137,桐壺,居起ち思しいとなみて、限りある事に事を添へさせたまふ。
138,桐壺,一年の春宮の御元服、南殿にてありし儀式、よそほしかりし御響きに落とさせたまはず。
139,桐壺,所々の饗など、内蔵寮、穀倉院など、公事に仕うまつれる、おろそかなることもぞと、とりわき仰せ言ありて、清らを尽くして仕うまつれり。
140,桐壺,おはします殿の東の廂、東向きに椅子立てて、冠者の御座、引入の大臣の御座、御前にあり。
141,桐壺,申の時にて源氏参りたまふ。
142,桐壺,角髪結ひたまへるつらつき、顔のにほひ、さま変へたまはむこと惜しげなり。
143,桐壺,大蔵卿、蔵人仕うまつる。
144,桐壺,いと清らなる御髪を削ぐほど、心苦しげなるを、主上は、「御息所の見ましかば」と、思し出づるに、堪へがたきを、心強く念じかへさせたまふ。
145,桐壺,かうぶりしたまひて、御休所にまかでたまひて、御衣奉り替へて、下りて拝したてまつりたまふさまに、皆人涙落としたまふ。
146,桐壺,帝はた、ましてえ忍びあへたまはず、思し紛るる折もありつる昔のこと、とりかへし悲しく思さる。
147,桐壺,いとかうきびはなるほどは、あげ劣りやと疑はしく思されつるを、あさましううつくしげさ添ひたまへり。
148,桐壺,引入の大臣の皇女腹にただ一人かしづきたまふ御女、春宮よりも御けしきあるを、思しわづらふことありける、この君に奉らむの御心なりけり。
149,桐壺,内裏にも、御けしき賜はらせたまへりければ、「さらば、この折の後見なかめるを、添ひ臥しにも」ともよほさせたまひければ、さ思したり。
150,桐壺,さぶらひにまかでたまひて、人びと大御酒など参るほど、親王たちの御座の末に源氏着きたまへり。
151,桐壺,大臣気色ばみきこえたまふことあれど、もののつつましきほどにて、ともかくもあへしらひきこえたまはず。
152,桐壺,御前より、内侍、宣旨うけたまはり伝へて、大臣参りたまふべき召しあれば、参りたまふ。
153,桐壺,御禄の物、主上の命婦取りて賜ふ。
154,桐壺,白き大袿に御衣一領、例のことなり。
155,桐壺,御盃のついでに、「いときなき初元結ひに長き世を契る心は結びこめつや」御心ばへありて、おどろかさせたまふ。
156,桐壺,「結びつる心も深き元結ひに濃き紫の色し褪せずは」と奏して、長橋より下りて舞踏したまふ。
157,桐壺,左馬寮の御馬、蔵人所の鷹据ゑて賜はりたまふ。
158,桐壺,御階のもとに親王たち上達部つらねて、禄ども品々に賜はりたまふ。
159,桐壺,その日の御前の折櫃物、籠物など、右大弁なむ承りて仕うまつらせける。
160,桐壺,屯食、禄の唐櫃どもなど、ところせきまで、春宮の御元服の折にも数まされり。
161,桐壺,なかなか限りもなくいかめしうなむ。
162,桐壺,その夜、大臣の御里に源氏の君まかでさせたまふ。
163,桐壺,作法世にめづらしきまで、もてかしづききこえたまへり。
164,桐壺,いときびはにておはしたるを、ゆゆしううつくしと思ひきこえたまへり。
165,桐壺,女君はすこし過ぐしたまへるほどに、いと若うおはすれば、似げなく恥づかしと思いたり。
166,桐壺,この大臣の御おぼえいとやむごとなきに、母宮、内裏の一つ后腹になむおはしければ、いづ方につけてもいとはなやかなるに、この君さへかくおはし添ひぬれば、春宮の御祖父にて、つひに世の中を知りたまふべき右大臣の御勢ひは、ものにもあらず圧されたまへり。
167,桐壺,御子どもあまた腹々にものしたまふ。
168,桐壺,宮の御腹は、蔵人少将にていと若うをかしきを、右大臣の、御仲はいと好からねど、え見過ぐしたまはで、かしづきたまふ四の君にあはせたまへり。
169,桐壺,劣らずもてかしづきたるは、あらまほしき御あはひどもになむ。
170,桐壺,源氏の君は、主上の常に召しまつはせば、心安く里住みもえしたまはず。
171,桐壺,心のうちには、ただ藤壺の御ありさまを、類なしと思ひきこえて、「さやうならむ人をこそ見め。似る人なくもおはしけるかな。大殿の君、いとをかしげにかしづかれたる人とは見ゆれど、心にもつかず」おぼえたまひて、幼きほどの心一つにかかりて、いと苦しきまでぞおはしける。
172,桐壺,大人になりたまひて後は、ありしやうに御簾の内にも入れたまはず。
173,桐壺,御遊びの折々、琴笛の音に聞こえかよひ、ほのかなる御声を慰めにて、内裏住みのみ好ましうおぼえたまふ。
174,桐壺,五六日さぶらひたまひて、大殿に二三日など、絶え絶えにまかでたまへど、ただ今は幼き御ほどに、罪なく思しなして、いとなみかしづききこえたまふ。
175,桐壺,御方々の人びと、世の中におしなべたらぬを選りととのへすぐりてさぶらはせたまふ。
176,桐壺,御心につくべき御遊びをし、おほなおほな思しいたつく。
177,桐壺,内裏には、もとの淑景舎を御曹司にて、母御息所の御方の人びとまかで散らずさぶらはせたまふ。
178,桐壺,里の殿は、修理職、内匠寮に宣旨下りて、二なう改め造らせたまふ。
179,桐壺,もとの木立、山のたたずまひ、おもしろき所なりけるを、池の心広くしなして、めでたく造りののしる。
180,桐壺,「かかる所に思ふやうならむ人を据ゑて住まばや」とのみ、嘆かしう思しわたる。
